Coming Soon,,,,,
#,Development Name,Address,Property Website,Management Company,Public Phone #
28,Morrone Gardens,1107 Luchessi Drive,http://fpihacsc.com/properties/,FPI Management,(408) 723-4118
29,Oak Circle,1410 Roberts Avenue,http://www.bridgehousing.com/properties/senior/santa-clara/san-jose/oak-circle,Seven Hills Properties,(408) 971-9099
30,Oaks of Almaden,5050 Russo Drive,http://www.roemcorp.com/projects/oaks-of-almaden/,FPI Management,(408) 265-7248
31,Palm Court Seniors,1200 Lick Avenue near Humboldt Street and Palm Street,http://www.thepalmcourtapts.com/,EAH Management,(408) 287-6620
32,Parkview Seniors,355 Race Street and San Carlos Street,http://www.eahhousing.org/pages/featureddevelopmentdetail/64,EAH Management,(408) 287-1860
33,Plaza Del Sol,1380 Blossom Hill Road and Waltrip Drive,http://www.caremgt.com/plaza-del-sol.html,"California Management Company, LLC",(408) 264-0900
34,Quail Hills Sr.,1260 Piedmont Road and Sierra Road,http://www.caremgt.com/qual-hills.html,"California Management Company, LLC",(408) 926-4250
35,Rose Garden Seniors,3071 Rose Ave,http://www.roemcorp.com/projects/rose-gardens/,FPI Management,(408) 928-2750
36,Rosemary Seniors,60 E. Rosemary,http://www.roemcorp.com/projects/1st-and-rosemary-family/,FPI Management,(408) 606-8098
37,San Carlos Senior,1523 West San Carlos St,http://www.eahhousing.org/pages/apartmentdetail/116,"EAH,Inc.",(408) 380-4087
38,Shiraz Senior,1295 McLaughlin Avenue,http://www.roemcorp.com/projects/shiraz-senior-housing/,FPI Management,(408) 928-2750
39,Sienna Senior,1496 Almaden Road,http://www.caremgt.com/sienna.html,"California Management Company, LLC",(408) 971-9640
40,Summercrest Villas,1725 Almaden Road,http://www.laspalmashousing.com/summercrest-villas/,ConAm Management,(408) 264-2900
41,Villa de Guadalupe,2151 Plaza de Guadalupe,http://www.villadeguadalupeapts.com/,"AMC-CA, Inc.",(408) 251-2955
42,Villa Hermosa,1640 Hermocilla Way,https://jscohacsc.com/property/villa-hermosa/,John Stewart Company,(408) 926-9662
43,Villaggio Sr.,2855 The Villages Pkwy,http://www.caremgt.com/villaggio.html,"California Management Company, LLC",(408) 270-7040
44,Vista Park Sr. I,3955 Vista Park Drive,http://www.eahhousing.org/pages/apartmentdetail/103,EAH Management,(408) 264-6661
45,Vista Park Sr. II,3955 Vista Park Drive,http://www.eahhousing.org/pages/apartmentdetail/103,EAH Management,(408) 264-6661
46,Willow Glen Sr.,465 WILLOW GLEN WAY,No website,The Related Company,(408) 459-7809
,,,,,
Special Needs Housing,,,,,
#,Development Name,Address,Property Website,Management Company,Public Phone #
1,Casa Feliz Studios,525 S.9th St,http://www.casafelizapartments.org/,John Stewart Company,(408) 516-4776
2,Creekview Inn,965 Lundy Avenue south of Beryessa Rd,http://www.firsthousing.com/contact/rental/,"Westlake Realty Group, Inc.",(408) 254-4540
3,Curtner Gardens,701 Curtner Avenue,http://www.curtnerstudios.org/,John Stewart Company,(408) 265-4249
4,Edenvale Special Needs,5340 Monterey Road,http://www.edenhousing.org/property/edenvale-special-needs,Eden Housing Management,(408) 224-5080
5,Fourth Street Apartments,1460 N.4th Street,http://www.fourthstreetapts.org/,John Stewart Company,(408) 451-9054
6,Hester Apartments,1759 Hester Avenue,N/A,Innvision - The Way Home,N/A
7,Hoffman - 5629,5629 Hoffman Court,http://www.abodeservices.org/,Abode Services,(408) 941-1850
8,Hoffman - 5668,5668 Hoffman Court,http://www.abodeservices.org/,Abode Services,(408) 941-1850
9,Hoffman - 5684,5684 Hoffman Court,http://www.abodeservices.org/,Abode Services,(408) 941-1850
10,Homebase,865 Calhoun St.,,John Stewart Company,(408) 713-2618
11,Homeport,5030 Union Avenue,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 279-2706
12,Homesafe,70 Kentucky Place,http://charitieshousing.org/home-safe-san-jose/,Charities Housing Management,(408) 251-8064
13,Lenzen Housing,790 Lenzen Avenue,http://www.eahhousing.org/pages/apartmentdetail/44,"EAH,Inc.",(408) 286-9595
14,Milagro,2850 Rose Avenue,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 272-1588
15,Monterey Villa,215 Ford Road,http://www.edenhousing.org/property/monterey-villa,Eden Housing Management,(510) 582-1460
16,Montgomery Street,358 North Montgomery Street,http://lifemoves.org/locations/,Innvision The Way Home,(408) 271-5160
17,Peacock Commons,3661 Peacock Ct.,http://www.billwilsoncenter.org/news_events/peacock_commons.html,,(408) 971-9822
18,Pensione Esperanza,"598 Columbia Avenue (and Bird Ave), SJ",http://charitieshousing.org/pensione-esperanza/,Charities Housing Management,(408) 920-0811
19,Pollard Plaza,1178 McLaughlin near Story Road,http://www.thepollardplaza.com/,EAH Management,(877) 715-4431
20,Sobrato House,496 S. Third St,http://www.homefirstscc.org/our-programs-2/programs-for-youth/sobrato-house-youth-center/,HomeFirst,(408) 539-2180
21,The Villa,184 South 11th Street,http://lifemoves.org/locations/,Innvision The Way Home,(408) 271-0685
22,Unity Place I,917 Northrup Street,http://www.unitycare.org/,Western Property Groupq,(408) 971-9822
23,Unity Place II,"109, 115 Roundtable Drive",N/A,N/A,N/A
24,Vivente I,2400 Enborg Lane,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 279-2706
,,,,,
